Docking Station Name,Docking Station ID,Docking Station Capacity,Latitude,Longitude
"River Street , Clerkenwell",1,19,51.5292,-0.109971
"Phillimore Gardens, Kensington",2,37,51.4996,-0.197574
"Christopher Street, Liverpool Street",3,32,51.5213,-0.0846057
"St. Chad's Street, King's Cross",4,23,51.5301,-0.120974
"Sedding Street, Sloane Square",5,27,51.4931,-0.156876
"Broadcasting House, Marylebone",6,18,51.5181,-0.144229
"Charlbert Street, St. John's Wood",7,16,51.5343,-0.168074
"Maida Vale, Maida Vale",8,39,51.529857,-0.183486
"New Globe Walk, Bankside",9,19,51.5074,-0.0964408
"Park Street, Bankside",10,18,51.506,-0.0927542
"Brunswick Square, Bloomsbury",11,24,51.524,-0.122502
"Malet Street, Bloomsbury",12,49,51.5217,-0.130432
"Scala Street, Fitzrovia",13,21,51.5199,-0.13604
"Belgrove Street , King's Cross",14,48,51.5299,-0.123617
"Great Russell Street, Bloomsbury",15,26,51.5177,-0.127854
"Cartwright Gardens , Bloomsbury",16,22,51.5264,-0.125979
"Hatton Wall, Holborn",17,26,51.5217,-0.109006
"Drury Lane, Covent Garden",18,27,51.5148,-0.12222
"Taviton Street, Bloomsbury",19,30,51.5251,-0.131161
"Drummond Street , Euston",20,28,51.5277,-0.135273
"Lansdowne Drive, Hackney Central",21,25,51.53995409,-0.06282746
"Northington Street , Holborn",22,19,51.5223,-0.114079
"Red Lion Square, Holborn",23,16,51.5194,-0.119123
"British Museum, Bloomsbury",24,35,51.5191,-0.124678
"Doric Way , Somers Town",25,28,51.5288,-0.13225
"Ampton Street , Clerkenwell",26,21,51.5273,-0.118295
"Bouverie Street, Temple",27,33,51.5138,-0.107928
"Bolsover Street, Fitzrovia",28,19,51.5235,-0.143614
"Hereford Road, Bayswater",29,22,51.5137,-0.193487
"Windsor Terrace, Hoxton",30,24,51.5292,-0.0934216
"Fanshaw Street, Hoxton",31,36,51.5295,-0.0833533
"Leonard Circus , Shoreditch",32,43,51.5247,-0.0844393
"Central House, Aldgate",33,18,51.5168,-0.0678275
"Pancras Road, King's Cross",34,16,51.5341,-0.129387
"De Vere Gardens, Kensington",36,28,51.5017,-0.184981
"Penywern Road, Earl's Court",37,17,51.4916,-0.192369
"Abingdon Villas, Kensington",38,16,51.4974,-0.197246
"Shoreditch High Street, Shoreditch",39,41,51.5264,-0.0781309
"Commercial Street, Shoreditch",40,16,51.5213,-0.0755789
"Pindar Street, Liverpool Street",41,24,51.52,-0.0839112
"Wenlock Road , Hoxton",42,28,51.531,-0.0939038
"Crawford Street, Marylebone",43,18,51.5203,-0.157184
"Bruton Street, Mayfair",44,21,51.5107,-0.144165
"Boston Place, Marylebone",45,26,51.5225,-0.162298
"Nesham Street, Wapping",46,16,51.5071,-0.06691
"Warwick Avenue Station, Maida Vale",47,19,51.5233,-0.183846
"Godliman Street, St. Paul's",48,25,51.5125,-0.0991414
"Curzon Street, Mayfair",49,16,51.5071,-0.145904
"East Road, Hoxton",50,27,51.5287,-0.0874594
"Finsbury Library , Finsbury",51,29,51.5267,-0.104298
"Roscoe Street, St. Luke's",52,18,51.523,-0.0949349
"Grafton Street, Mayfair",53,18,51.51,-0.143495
"Golden Lane, Barbican",54,27,51.5217,-0.0944751
"Finsbury Circus, Liverpool Street",55,33,51.5171,-0.0866855
"Paddington Street, Marylebone",56,15,51.5206,-0.154701
"Guilford Street , Bloomsbury",57,32,51.5233,-0.120203
"New Inn Yard, Shoreditch",58,20,51.5245,-0.0792481
"Lisson Grove, St. John's Wood",60,18,51.5264,-0.172191
"Great Dover Street, The Borough",61,33,51.4974,-0.0894469
"Cotton Garden Estate, Kennington",62,24,51.4908,-0.106324
"Murray Grove , Hoxton",63,27,51.5309,-0.0897826
"William IV Street, Strand",64,26,51.5095,-0.124749
"Holborn Circus, Holborn",66,40,51.518,-0.108657
"Hatton Garden, Holborn",67,28,51.5188,-0.108028
"Theobald's Road , Holborn",68,26,51.5206,-0.116688
"Euston Road, Euston",69,24,51.5262,-0.134408
"Calshot Street , King's Cross",70,24,51.5314,-0.11707
"Newgate Street , St. Paul's",71,34,51.5154,-0.0988509
"Farringdon Lane, Clerkenwell",72,16,51.5235,-0.10834
"Old Street Station, St. Luke's",73,37,51.5257,-0.0884862
"Vauxhall Cross, Vauxhall",74,17,51.4859,-0.12447
